batch_size,hidden_units,learning_rate,model,1-gram %,2-gram %,3-gram %,4-gram %,train_loss,val_loss
64.0,512.0,0.001,lstm2,95.90643310546875,64.70587921142578,15.97633171081543,1.7857142686843872,0.9875540733337402,1.1599256992340088
32.0,256.0,0.01,lstm2,88.30409240722656,50.0,16.56804656982422,2.9761905670166016,1.2640800476074219,1.3181231021881104
128.0,256.0,0.0001,lstm2,53.757225036621094,16.279069900512695,1.1695905923843384,0.0,1.6553549766540527,1.6690387725830078
64.0,256.0,0.0001,rnn,68.60465240478516,30.40935707092285,5.882352828979492,0.5917159914970398,1.4812909364700317,1.5091074705123901
64.0,512.0,0.001,rnn,90.53254699707031,54.16666793823242,15.568861961364746,3.614457845687866,1.174805760383606,1.2568726539611816
128.0,768.0,0.0001,lstm,66.47058868408203,32.54438018798828,7.142857074737549,0.598802387714386,1.4412447214126587,1.4694585800170898
64.0,1024.0,0.01,lstm2,53.16455841064453,17.197452545166016,1.2820513248443604,0.0,1.7105649709701538,1.7420600652694702
128.0,768.0,0.001,lstm,90.79754638671875,50.0,13.043478012084961,1.875,1.0234614610671997,1.1625581979751587
128.0,512.0,0.001,rnn,87.3563232421875,57.803466796875,18.023256301879883,3.5087718963623047,1.1741961240768433,1.2546515464782715
128.0,256.0,0.001,rnn,81.81818389892578,39.42856979370117,12.068965911865234,1.1560693979263306,1.299586534500122,1.3502799272537231
128.0,512.0,0.001,lstm,90.5882339477539,59.76331329345703,23.809524536132812,1.7964072227478027,1.094470739364624,1.1906026601791382
32.0,1024.0,0.0001,lstm2,90.11627960205078,61.403507232666016,27.058822631835938,4.733727931976318,1.032195806503296,1.1711734533309937
128.0,1024.0,0.0001,lstm,70.30303192138672,28.04878044128418,6.134969234466553,0.6172839403152466,1.3905099630355835,1.4261432886123657
128.0,768.0,0.01,lstm,86.6279067993164,51.46198654174805,14.70588207244873,1.1834319829940796,1.1893876791000366,1.2644764184951782
64.0,512.0,0.0001,lstm2,81.56424713134766,51.685394287109375,22.59886932373047,2.840909004211426,1.3172874450683594,1.3540362119674683
128.0,512.0,0.0001,rnn,64.11764526367188,26.035503387451172,1.1904761791229248,0.0,1.439031958580017,1.4737874269485474
64.0,256.0,0.0001,lstm2,66.09195709228516,32.947975158691406,7.558139324188232,0.0,1.526141881942749,1.5442638397216797
128.0,256.0,0.0001,rnn,63.3136100769043,29.761905670166016,2.395209550857544,0.6024096608161926,1.554388165473938,1.5773817300796509
32.0,768.0,0.001,lstm2,92.85713958740234,68.50828552246094,31.66666603088379,7.821228981018066,0.9661504626274109,1.146121621131897
64.0,1024.0,0.001,lstm2,94.08283996582031,58.92856979370117,18.56287384033203,4.216867446899414,0.9718887209892273,1.142093539237976
128.0,1024.0,0.01,lstm2,80.44692993164062,42.134830474853516,6.779661178588867,0.5681818127632141,1.3573845624923706,1.4024262428283691
32.0,256.0,0.001,lstm2,89.63414764404297,50.92024612426758,17.901233673095703,3.1055901050567627,1.1322811841964722,1.2103650569915771
32.0,256.0,0.01,rnn,71.82320404052734,33.33333206176758,3.3519554138183594,0.0,1.6941407918930054,1.712570309638977
32.0,512.0,0.0001,lstm2,81.31867980957031,45.856353759765625,10.0,1.1173183917999268,1.21258544921875,1.2643214464187622
64.0,1024.0,0.001,rnn,87.5,53.14285659790039,16.09195327758789,3.468208074569702,1.11503267288208,1.2203798294067383
128.0,1024.0,0.01,rnn,64.49703979492188,21.428571701049805,1.7964072227478027,0.0,1.776210069656372,1.7958760261535645
32.0,256.0,0.0001,lstm,67.44186401367188,24.561403274536133,2.941176414489746,0.0,1.4339290857315063,1.460328459739685
128.0,1024.0,0.001,lstm,89.7727279663086,60.0,24.712644577026367,4.624277591705322,0.9969398975372314,1.152504801750183
128.0,256.0,0.001,lstm,82.24851989746094,50.595237731933594,10.179640769958496,1.2048193216323853,1.2630584239959717,1.3110018968582153
32.0,768.0,0.01,rnn,41.20878982543945,10.497237205505371,1.1111111640930176,0.0,2.161198854446411,2.1633083820343018
32.0,512.0,0.01,rnn,43.55828094482422,16.04938316345215,1.2422360181808472,0.0,1.9440451860427856,1.9541438817977905
32.0,512.0,0.0001,rnn,81.31867980957031,48.06629943847656,15.0,2.2346367835998535,1.2964720726013184,1.3447215557098389
64.0,768.0,0.01,lstm,90.53254699707031,57.14285659790039,14.371257781982422,2.4096386432647705,1.1813777685165405,1.2495529651641846
64.0,1024.0,0.01,rnn,59.1194953918457,23.417720794677734,0.6369426846504211,0.0,1.7910996675491333,1.803845763206482
128.0,512.0,0.0001,lstm,62.20930099487305,27.485380172729492,4.117647171020508,0.0,1.525648593902588,1.5451321601867676
128.0,1024.0,0.0001,rnn,72.28915405273438,32.727272033691406,10.365853309631348,1.2269939184188843,1.3380244970321655,1.3869051933288574
64.0,1024.0,0.0001,lstm2,83.43558502197266,46.91358184814453,11.180124282836914,1.25,1.1368517875671387,1.2178547382354736
32.0,512.0,0.01,lstm2,88.46154022216797,46.961326599121094,11.11111068725586,0.0,1.3422174453735352,1.384793996810913
128.0,768.0,0.01,lstm2,69.18604278564453,29.239765167236328,2.941176414489746,0.0,1.5714313983917236,1.600974678993225
32.0,768.0,0.0001,lstm2,84.70587921142578,49.1124267578125,13.690476417541504,1.7964072227478027,1.1124370098114014,1.198728084564209
64.0,768.0,0.01,lstm2,57.22222137451172,15.0837984085083,0.0,0.0,1.6782878637313843,1.7066413164138794
128.0,512.0,0.0001,lstm2,65.47618865966797,29.341318130493164,4.819277286529541,0.6060606241226196,1.4680205583572388,1.4903825521469116
128.0,512.0,0.001,lstm2,95.42857360839844,67.24137878417969,25.43352508544922,5.813953399658203,0.9986057281494141,1.160891056060791
